Hãi nhất là mấy thằng máu liều nhiều hơn máu não,Fear
Đáng tiếc nhất là khi tìm thấy người mình muốn chăm sóc cả đời thì vợ lại không cho,Sadness
Nhìn là thấy ớn rồi đó chứ chưa nói tới ăn.,Disgust
Cảm thấy đi được thì đi luôn đi đừng có quay lại đây nữa.,Sadness
"Con người gì mà không có ý thức, thùng rác ngay đó mà vẫn quăng ra ngoài được.",Disgust
"Con người gì mà không có ý thức, thùng rác ngay đó mà vẫn quăng ra ngoài được.",Disgust
Bụi bay vào mắt chứ tao có khóc đâu.,Sadness
A con chó này  dám lừa bố mày.,Anger
A con chó này dám lừa bố mày.,Anger
"Tình nhiều khi không mà có, tình nhiều lúc có như không.",Enjoyment
"Mày đùa với tao đó à, cho bố mày cái địa chỉ đi.",Anger
Cảm giác như đang sống trong mơ vậy.,Sadness
"Tao đang ăn cơm tối, đợi một tí.",Other
Cái thứ khôn nhà dại chợ.,Disgust
Tại sao nó vẫn còn ở đây.,Surprise
"Ồ mới có xe mới à, rửa đi chứ",Enjoyment
Ồ mới có xe mới à,Surprise
Bọn trẻ ngày nay ăn gì mà lớn nhanh thế nhỉ,Surprise
😵‍💫😵‍💫😵‍💫😵‍💫,Sadness
"haha, tụi này ngáo rồi 😤",Enjoyment
tụi này ngáo quá rồi 😤,Disgust
V: 😤😤😤,Enjoyment
v:,Enjoyment
v😁🤮😡😡🤚🏼🤚🏼🤚🏼,Sadness
chán mà 😁🤮😡😡🤚🏼🤚🏼🤚🏼,Sadness
vui quá 😁🤮😡😡🤚🏼🤚🏼🤚🏼,Enjoyment
v: 😁🤮,Disgust
v:,Enjoyment
v: v: v:,Enjoyment
vãi,Disgust
"Mày đùa với tao đó à, cho bố mày cái địa chỉ đi. Cảm giác như đang sống trong mơ vậy.",Disgust
Cái thứ khôn nhà dại chợ.,Disgust
hay ghê á ✌🏼✌🏼✌🏼,Enjoyment
hay ghê á 🤬,Surprise
hay ghê á 😡,Surprise
😲😲,Surprise
người buồn cảnh có vui đâu bao giờ,Sadness
người buồn cảnh có vui đâu bao giờ  😲😲😭😭😢,Sadness
😭😭😭😭,Sadness
😲😲😲,Surprise
😨,Fear
)))),Enjoyment
((((,Enjoyment
buổi tối vui vẻ,Enjoyment
